Date,Time,CO,NMHC,Nox,NO2,T,RH,AH
20040310,1800,2.6,150,166,113,13.6,48.9,0.7578
20040310,1900,2,112,103,92,13.3,47.7,0.7255
20040310,2000,2.2,88,131,114,11.9,54.0,0.7502
20040310,2100,2.2,80,172,122,11.0,60.0,0.7867
20040310,2200,1.6,51,131,116,11.2,59.6,0.7888
20040310,2300,1.2,38,89,96,11.2,59.2,0.7848
20040311,0000,1.2,31,62,77,11.3,56.8,0.7603
20040311,0100,1,31,62,76,10.7,60.0,0.7702
20040311,0200,0.9,24,45,60,10.7,59.7,0.7648
20040311,0300,0.6,19,-200,-200,10.3,60.2,0.7517
20040311,0400,-200,14,21,34,10.1,60.5,0.7465
20040311,0500,0.7,8,16,28,11.0,56.2,0.7366
20040311,0600,0.7,16,34,48,10.5,58.1,0.7353
20040311,0700,1.1,29,98,82,10.2,59.6,0.7417
20040311,0800,2,64,174,112,10.8,57.4,0.7408
20040311,0900,2.2,87,129,101,10.5,60.6,0.7691
20040311,1000,1.7,77,112,98,10.8,58.4,0.7552
20040311,1100,1.5,43,95,92,10.5,57.9,0.7352
20040311,1200,1.6,61,104,95,9.5,66.8,0.7951
20040311,1300,1.9,63,146,112,8.3,76.4,0.8393
20040311,1400,2.9,164,207,128,8.0,81.1,0.8736
20040311,1500,2.2,79,184,126,8.3,79.8,0.8778
20040311,1600,2.2,95,193,131,9.7,71.2,0.8569
20040311,1700,2.9,150,243,135,9.8,67.6,0.8185
20040311,1800,4.8,307,281,151,10.3,64.2,0.8065
20040311,1900,6.9,461,383,172,9.7,69.3,0.8319
20040311,2000,6.1,401,351,165,9.6,67.8,0.8133
20040311,2100,3.9,197,240,136,9.1,64.0,0.7419
20040311,2200,1.5,61,94,85,8.2,63.4,0.6905
20040311,2300,1,26,47,53,8.2,60.8,0.6657
20040312,0000,1.7,55,122,97,8.3,58.5,0.6438
20040312,0100,1.9,53,133,110,7.7,59.7,0.6308
20040312,0200,1.4,40,82,91,7.1,61.8,0.6276
20040312,0300,0.8,21,-200,-200,7.0,62.3,0.6261
20040312,0400,-200,10,21,32,6.1,65.9,0.6248
20040312,0500,0.6,7,30,44,6.3,65.0,0.6233
20040312,0600,0.8,17,56,71,6.8,62.9,0.6234
20040312,0700,1.4,33,109,104,6.4,65.1,0.6316
20040312,0800,4.4,202,307,141,7.3,63.1,0.6499
20040312,0900,-200,-200,-200,-200,9.2,56.2,0.6561
20040312,1000,3.1,208,187,122,13.2,41.7,0.6320
20040312,1100,2.7,166,216,143,14.3,38.4,0.6243
20040312,1200,2.1,114,143,113,15.0,36.5,0.6195
20040312,1300,2.5,140,160,116,16.1,34.5,0.6262
20040312,1400,2.7,169,163,123,16.3,35.7,0.6560
20040312,1500,2.9,185,190,126,15.8,37.0,0.6610
20040312,1600,2.8,165,178,120,15.9,37.2,0.6657
20040312,1700,2.4,133,150,119,16.9,34.3,0.6549
20040312,1800,3.9,233,206,149,15.1,39.6,0.6766
20040312,1900,3.7,242,202,145,14.4,43.4,0.7084
20040312,2000,6.6,488,340,170,12.9,50.5,0.7478
20040312,2100,4.4,333,274,149,12.1,53.3,0.7536
20040312,2200,3.5,215,253,139,11.0,59.1,0.7740
20040312,2300,5.4,367,300,134,9.7,64.6,0.7771
20040313,0000,2.7,122,193,113,9.5,64.1,0.7597
20040313,0100,1.9,67,139,97,9.1,63.9,0.7423
20040313,0200,1.6,43,83,82,8.8,63.9,0.7256
20040313,0300,1.7,46,-200,-200,7.8,67.5,0.7173
20040313,0400,-200,56,109,83,7.0,71.1,0.7158
20040313,0500,1,30,62,65,8.3,63.6,0.6982
20040313,0600,1.2,27,53,60,7.2,67.5,0.6887
20040313,0700,1.5,47,139,77,6.3,71.9,0.6932
20040313,0800,2.7,132,256,96,6.5,71.6,0.6945
20040313,0900,3.7,239,295,119,9.6,59.7,0.7124
20040313,1000,3.2,160,250,126,12.4,51.2,0.7335
20040313,1100,4.1,283,296,158,15.6,42.2,0.7451
20040313,1200,3.6,210,239,161,18.4,33.8,0.7090
20040313,1300,2.8,154,153,124,19.4,31.3,0.6950
20040313,1400,2,112,118,102,18.0,34.8,0.7127
20040313,1500,2,108,119,116,18.4,33.6,0.7042
20040313,1600,2.5,111,138,124,17.6,35.1,0.7012
20040313,1700,2.3,97,148,125,16.7,37.8,0.7117
20040313,1800,3.2,191,227,148,16.1,41.0,0.7451
20040313,1900,4.2,258,277,165,15.8,42.4,0.7569
20040313,2000,4.2,284,279,161,15.7,44.1,0.7786
20040313,2100,4.2,269,283,159,15.3,46.8,0.8091
20040313,2200,3.1,180,214,143,14.6,48.6,0.8060
20040313,2300,2.6,116,172,130,14.7,49.3,0.8193
20040314,0000,2.9,93,190,129,13.9,53.6,0.8498
20040314,0100,2.8,131,174,119,14.6,51.5,0.8536
20040314,0200,2.5,92,128,104,12.5,58.9,0.8537
20040314,0300,2.4,132,-200,-200,11.6,63.4,0.8674
20040314,0400,-200,56,70,82,12.1,61.1,0.8603
20040314,0500,1.2,32,53,70,11.5,63.1,0.8533
20040314,0600,1,29,44,63,11.6,62.2,0.8473
20040314,0700,0.9,27,74,67,10.4,67.6,0.8530
20040314,0800,1.4,36,101,84,11.6,62.7,0.8530
20040314,0900,1.6,57,118,83,12.4,60.0,0.8627
20040314,1000,2.2,129,144,98,14.5,53.1,0.8728
20040314,1100,2.8,148,176,114,16.9,46.1,0.8789
20040314,1200,2.8,145,161,119,19.3,38.3,0.8474
20040314,1300,2,93,113,104,21.2,31.4,0.7812
20040314,1400,1.8,84,103,102,21.4,30.2,0.7616
20040314,1500,1.9,99,112,107,21.9,29.0,0.7525
20040314,1600,3,150,170,129,22.2,28.4,0.7516
20040314,1700,2.9,156,180,128,21.3,30.8,0.7696
20040314,1800,2.5,122,160,121,19.7,36.7,0.8307
20040314,1900,4.6,262,261,157,18.4,41.7,0.8732
20040314,2000,5.9,341,325,173,17.6,46.1,0.9210
20040314,2100,3.4,214,217,146,16.7,49.6,0.9320
20040314,2200,2.1,100,146,121,16.3,51.0,0.9341
20040314,2300,2.2,79,152,119,14.7,55.9,0.9314
20040315,0000,1.8,66,104,99,14.8,54.7,0.9164
