Date,Time,CO,NMHC,Nox,NO2,T,RH,AH
20040311,0000,1.2,31,62,77,11.3,56.8,0.7603
20040311,0100,1,31,62,76,10.7,60.0,0.7702
20040311,0200,0.9,24,45,60,10.7,59.7,0.7648
20040311,0300,0.6,19,n/a,n/a,10.3,60.2,0.7517
20040311,0400,n/a,14,21,34,10.1,60.5,0.7465
20040311,0500,0.7,8,16,28,11.0,56.2,0.7366
20040311,0600,0.7,16,34,48,10.5,58.1,0.7353
20040311,0700,1.1,29,98,82,10.2,59.6,0.7417
20040311,0800,2,64,174,112,10.8,57.4,0.7408
20040311,0900,2.2,87,129,101,10.5,60.6,0.7691
20040311,1000,1.7,77,112,98,10.8,58.4,0.7552
20040311,1100,1.5,43,95,92,10.5,57.9,0.7352
20040311,1200,1.6,61,104,95,9.5,66.8,0.7951
20040311,1300,1.9,63,146,112,8.3,76.4,0.8393
20040311,1400,2.9,164,207,128,8.0,81.1,0.8736
20040311,1500,2.2,79,184,126,8.3,79.8,0.8778
20040311,1600,2.2,95,193,131,9.7,71.2,0.8569
20040311,1700,2.9,150,243,135,9.8,67.6,0.8185
20040311,1800,4.8,307,281,151,10.3,64.2,0.8065
20040311,1900,6.9,461,383,172,9.7,69.3,0.8319
20040311,2000,6.1,401,351,165,9.6,67.8,0.8133
20040311,2100,3.9,197,240,136,9.1,64.0,0.7419
20040311,2200,1.5,61,94,85,8.2,63.4,0.6905
20040311,2300,1,26,47,53,8.2,60.8,0.6657
