# source: http://www.rsc.org/Membership/Networking/InterestGroups/Analytical/AMC/Datasets/index.asp
# Pattern recognition data. 16 trace elements determined in 186 pieces 
# of flint collected at 11 different locations
#TITLE: 	Trace elements in archaeological flint from different locations
#DESCRIPTION:	186 samples, 11 different locations, 16 trace elements.
#VARIABLES:	Li, Na, etc:  Element symbols.; Location:  Code identifying the different sites; 
#UNITS:		Mass fraction times 10^6 (parts per million)
#REFERENCE_VALUES:	None
#APPLICATION_SECTOR:	Archaeometry
#ANALYTE:	Trace elements
#MATRIX_TYPE:	Flint
#RATIONALE:	Source determination, supervised learning
#DATA_TYPE:	Mulitvariate
#DATA_STRUCTURE:	Simple. Each row shows results for a different object.
#CONDITIONS:	Repeatability
#ORIGIN:	Experimental
#DATE_OF_ORIGIN:	1986
#AUTHOR:	Professor Michael Thompson
#AUTHOR_ADDRESS:	School of Biological and Chemical Sciences, Birkbeck College (University of London), Malet Street, London WC1E 7HX, 	 
#LITERATURE_REFERENCES:	M Thompson, P R Bush and J Ferguson (1986); THE ANALYSIS OF FLINT BY ICPAES AS A METHOD OF SOURCE DETERMINATION. In: G de G Sieveking (ed), ‘The  Scientific Study of Flint’, Proceedings of the International Flint Symposium 1983, Brighton, pp 243-247.
Li	Na	K	Be	Mg	Ca	Sr	Ba	Al	Ti	V	Mn	Fe	Cu	Zn	P	Location
3.2	197	230	0.3	27	1290	3.8	1.32	410	18.8	1.22	1.74	60	0.53	2.5	75	1
4.1	260	210	1.02	16.9	330	2.8	1.72	460	21	0.81	1.06	44	0.98	1.11	80	1
4.1	250	220	0.65	18.8	400	3.4	8.6	520	24	0.99	0.3	88	0.95	2.4	89	1
5.3	191	169	0.1	155	1000	19.8	1.26	400	19.4	1.27	14.1	45	1.03	2.1	103	1
2.8	120	108	0.02	60	5800	11.2	2	200	8.7	1.85	3.7	162	0.5	1.89	240	2
2.8	142	144	0.055	74	6700	10.8	2.5	320	15	1.76	8.5	184	0.52	7	152	2
2.7	164	139	0.02	102	11800	17.1	5.4	260	12.7	2.3	4.7	280	0.68	2.2	220	2
4.5	134	118	0.02	156	14200	23	1.5	210	11.5	1.84	5.5	163	0.4	1.28	220	2
1.46	160	133	0.03	18.1	620	4.6	8.2	220	10	1.58	0.96	125	0.51	0.97	175	2
4.6	79	75	0.02	220	22000	33	1.72	197	9.4	1.86	26	1970	0.8	2.8	220	2
3.3	162	129	0.1	50	4700	16.1	6.9	330	12.9	2.4	46	183	0.9	8.2	610	2
1.74	200	166	0.03	28	1250	9.7	6	300	12.4	2.7	1.61	75	0.72	1.01	430	2
3.3	155	137	0.02	80	8000	13.9	2.1	290	14.7	1.87	3.3	87	0.56	1.14	250	2
4.6	240	200	1.08	20	410	3.4	3.6	560	31	1.29	0.62	75	1.16	1.64	96	1
5.6	290	230	0.95	18.2	320	3.3	2.9	620	18.8	0.79	0.67	62	0.3	1.03	71	1
2.8	210	167	2.4	16.8	530	3.6	4.5	390	19.6	0.99	0.4	47	1.04	3.9	140	1
6.8	280	240	0.57	25	1190	5.5	5.2	660	32	1.61	0.94	76	1.71	1.77	127	1
3.9	230	196	0.98	16	310	2.7	2.1	470	20	0.86	0.55	48	1.57	2.4	75	1
4.3	240	210	0.8	14.5	430	3.2	2.6	510	20	1.12	0.4	74	1.09	1.59	101	1
4.7	270	240	0.78	20	320	3.1	1.96	560	20	0.97	1.3	65	0.9	0.96	74	1
4.3	240	199	0.84	16.4	320	2.9	3.5	510	24	0.82	1.42	50	0.62	1.22	74	1
1.23	151	125	0.065	15.8	640	4.3	0.67	197	6.3	0.62	4.4	24	0.5	2.9	76	3
8.4	69	76	0.02	27	3600	11.2	0.75	186	4.9	0.8	1.13	28	0.55	2.1	84	3
