Date,Time,HZ,Displace,Flow,SedimentPPM,PressureLbs,ChlorinePPM
3/10/14,1:01,10.47,1.828,967,0.36,77,1.75
3/10/14,1:02,10.09,1.83,968,0.32,91,1.19
3/10/14,1:03,9.53,1.831,969,0.26,96,0.86
3/10/14,1:05,9.54,1.831,969,0.73,95,0.69
3/10/14,1:06,10.38,1.832,969,1.77,99,0.69
3/10/14,1:08,9.84,1.832,970,1.48,86,1.69
3/10/14,1:09,10.29,1.834,971,1.42,85,0.76
3/10/14,1:11,9.71,1.834,971,1.33,76,1.29
3/10/14,1:12,9.94,1.835,971,1.68,91,1.79
3/10/14,1:13,10.1,1.835,971,1.09,80,1.55
3/10/14,1:15,9.78,1.837,972,1.07,90,1.91
3/10/14,1:16,9.63,1.837,972,1.13,82,0.62
3/10/14,1:18,9.62,1.839,973,1.31,100,0.54
3/10/14,1:19,9.57,1.84,974,0.13,83,0.99
3/10/14,1:21,9.96,1.841,974,1.58,93,0.94
3/10/14,1:22,10.3,1.842,975,0.67,91,1.74
3/10/14,1:24,10.34,1.844,976,0.46,92,1.66
3/10/14,1:25,10.46,1.845,976,0.59,77,1.93
3/10/14,1:26,9.75,1.845,977,0.26,95,1.71
3/10/14,1:28,10.1,1.846,977,1.36,79,1.16
3/10/14,1:29,10.42,1.847,977,0.78,75,1.46
3/10/14,1:31,10.39,1.847,978,0.89,77,1.57
3/10/14,1:32,9.69,1.848,978,0.07,86,1.62
3/10/14,1:34,9.63,1.849,979,1.64,81,1.02
3/10/14,1:35,9.91,1.851,979,1.89,81,0.76
3/10/14,1:37,9.67,1.852,980,0.85,99,0.68
3/10/14,1:38,10.02,1.853,981,1.55,98,1.16
3/10/14,1:39,9.61,1.854,981,1.44,76,1.62
3/10/14,1:41,9.97,1.854,981,0.42,92,1.25
3/10/14,1:42,10.14,1.855,981,1.97,93,1.47
3/10/14,1:44,10.23,1.855,982,0.23,96,1.53
3/10/14,1:45,9.87,1.856,982,0.11,80,1.44
3/10/14,1:47,9.67,1.856,982,0.3,91,1.49
3/10/14,1:48,10.35,1.857,983,0.5,81,1.94
3/10/14,1:49,10,1.857,983,0.52,99,0.73
3/10/14,1:51,9.67,1.858,983,0.58,95,1.23
3/10/14,1:52,10.41,1.858,983,0.22,96,0.83
3/10/14,1:54,10,1.859,984,0.85,81,0.86
3/10/14,1:55,10.02,1.86,984,0.51,80,1.74
3/10/14,1:57,9.94,1.861,985,0.47,84,1.21
3/10/14,1:58,10.26,1.862,985,0.28,96,1.69
3/10/14,2:00,9.92,1.863,986,1.58,97,0.66
3/10/14,2:01,10.37,1.863,986,1.08,90,0.56
3/10/14,2:02,10.4,1.863,986,0.37,85,0.5
3/10/14,2:04,9.5,1.865,987,0.84,81,1.23
3/10/14,2:05,10.43,1.866,987,0.13,86,0.69
3/10/14,2:07,10.28,1.866,988,0.26,78,0.54
3/10/14,2:08,9.65,1.867,988,1.37,99,0.58
3/10/14,2:10,10.5,1.869,989,1.87,97,1.1
3/10/14,2:11,9.57,1.869,989,1.01,92,1.01
3/10/14,2:13,10.17,1.87,990,1.29,88,0.7
3/10/14,2:14,9.99,1.871,990,1.88,93,1.64
3/10/14,2:15,10.22,1.871,990,1.72,80,1.87
3/10/14,2:17,9.88,1.872,991,0.45,94,1.09
3/10/14,2:18,9.56,1.872,991,0.32,90,1.25
3/10/14,2:20,9.94,1.873,991,0.73,84,1.47
3/10/14,2:21,9.57,1.874,991,1.6,89,1.33
3/10/14,2:23,10.25,1.875,992,1.51,97,1.86
3/10/14,2:24,9.62,1.876,993,0.87,89,1.21
3/10/14,2:25,9.96,1.877,993,1.79,97,0.91
3/10/14,2:27,10.43,1.878,994,1.88,85,1.99
3/10/14,2:28,9.61,1.879,994,1.78,75,1.63
3/10/14,2:30,9.77,1.88,995,1.18,96,1.24
3/10/14,2:31,10.3,1.881,995,1.42,88,1.47
3/10/14,2:33,9.54,1.882,996,0.43,79,1.3
3/10/14,2:34,9.52,1.883,996,0.61,79,1.86
3/10/14,2:36,9.51,1.885,997,1.7,86,0.51
3/10/14,2:37,10.4,1.886,998,0.32,92,1.12
3/10/14,2:38,9.77,1.886,998,1.73,75,1.23
3/10/14,2:40,10.45,1.887,998,1.91,89,1.82
3/10/14,2:41,10.28,1.887,999,1.9,77,1.88
3/10/14,2:43,10.49,1.889,1000,0.15,92,1.84
3/10/14,2:44,10.15,1.891,1001,1.14,79,1.47
3/10/14,2:46,10.18,1.891,1001,1.42,84,1.1
3/10/14,2:47,10.02,1.892,1001,1.21,75,0.63
3/10/14,2:49,10.37,1.893,1002,0.56,88,0.58
3/10/14,2:50,10.08,1.894,1002,1.86,79,0.72
3/10/14,2:51,9.83,1.895,1003,0.08,90,1.95
3/10/14,2:53,10.15,1.896,1003,1.33,90,1.66
3/10/14,2:54,10.03,1.896,1003,0.81,88,0.96
3/10/14,2:56,9.75,1.897,1004,1.65,78,0.67
3/10/14,2:57,10.31,1.897,1004,0.56,87,1.09
3/10/14,2:59,10.5,1.899,1005,0.71,89,1.35
3/10/14,3:00,10.43,1.901,1006,0.23,99,1.69
3/10/14,3:01,10.44,1.901,1006,1.31,80,1.86
3/10/14,3:03,9.94,1.901,1006,0.19,86,1.92
3/10/14,3:04,9.75,1.902,1006,1.3,92,0.73
3/10/14,3:06,10.17,1.902,1007,0.87,78,1.3
3/10/14,3:07,10.41,1.903,1007,1.62,86,0.79
3/10/14,3:09,9.89,1.904,1008,0.04,89,1.12
3/10/14,3:10,10.13,1.905,1008,0.1,76,1.13
3/10/14,3:12,9.72,1.906,1008,0.93,97,1.46
3/10/14,3:13,9.96,1.906,1009,0.02,85,0.58
3/10/14,3:14,9.96,1.907,1009,1.64,78,1.48
3/10/14,3:16,9.73,1.908,1009,1.29,79,0.87
3/10/14,3:17,10.29,1.908,1010,0.98,80,1.93
3/10/14,3:19,9.97,1.909,1010,1.71,95,1.23
3/10/14,3:20,9.51,1.91,1011,0.85,92,1.04
3/10/14,3:22,9.52,1.911,1011,1.72,81,0.82
3/10/14,3:23,10.01,1.912,1012,1.34,82,1.67
3/10/14,3:25,9.82,1.913,1012,0.11,97,1.02
3/10/14,3:26,10.42,1.914,1013,1.35,98,1.96
3/10/14,3:27,10.07,1.914,1013,1.53,85,0.68
3/10/14,3:29,10.07,1.915,1013,1.22,97,1.15
3/10/14,3:30,9.71,1.916,1014,0.29,93,0.7
3/10/14,3:32,9.94,1.917,1014,1.81,99,1.9
3/10/14,3:33,10.11,1.917,1015,0.19,99,0.83
3/10/14,3:35,9.89,1.919,1015,0.04,94,1.65
3/10/14,3:36,10.24,1.92,1016,0.2,81,1.5
3/10/14,3:37,9.57,1.921,1016,1.5,85,1.91
3/10/14,3:39,9.7,1.921,1017,1.28,76,1.53
3/10/14,3:40,9.69,1.921,1017,0.16,95,1.72
3/10/14,3:42,10.14,1.922,1017,1.11,96,0.58
3/10/14,3:43,9.81,1.923,1017,1.92,87,1.58
3/10/14,3:45,10.03,1.924,1018,1.31,81,1.71
3/10/14,3:46,9.58,1.925,1019,0.64,76,0.58
3/10/14,3:48,9.54,1.926,1019,1.4,96,1.34
3/10/14,3:49,9.82,1.926,1019,0.79,84,1.88
3/10/14,3:50,10.46,1.927,1020,0.51,93,1
3/10/14,3:52,10.09,1.928,1020,1.07,89,1.52
3/10/14,3:53,9.78,1.93,1021,1.02,92,1.34
3/10/14,3:55,9.87,1.931,1022,0.33,75,1.74
3/10/14,3:56,10.28,1.931,1022,0.23,90,1.33
3/10/14,3:58,9.79,1.932,1022,1.32,88,1.92
3/10/14,3:59,10.3,1.933,1023,1.44,87,0.55
3/10/14,4:01,9.71,1.934,1024,1,76,1.27
3/10/14,4:02,10.01,1.946,1030,0.27,78,1.67
3/10/14,4:03,9.86,1.954,1034,0.89,99,1.91
3/10/14,4:05,9.53,1.957,1036,1.94,85,1.1
3/10/14,4:06,9.6,1.959,1037,1.14,76,0.71
3/10/14,4:08,10.5,1.963,1039,0.83,96,1.18
3/10/14,4:09,9.83,1.975,1045,0.07,91,1.14
3/10/14,4:11,10.02,1.981,1048,0.67,98,1.73
3/10/14,4:12,10.24,1.985,1050,0.23,89,1.97
3/10/14,4:13,10.39,1.989,1052,1.21,79,1.87
3/10/14,4:15,10.47,1.994,1055,0.58,94,0.82
3/10/14,4:16,10.37,1.999,1058,1.48,98,1.34
3/10/14,4:18,9.63,2.005,1061,0.59,81,1.04
3/10/14,4:19,10.13,2.009,1063,0.2,86,0.78
3/10/14,4:21,10.29,2.013,1065,0.8,96,1.69
3/10/14,4:22,9.76,2.017,1067,0.47,100,0.96
3/10/14,4:24,9.57,2.023,1070,1.13,78,1.44
3/10/14,4:25,9.91,2.026,1072,1.6,86,1.33
3/10/14,4:26,10.34,2.029,1074,1.11,94,0.91
3/10/14,4:28,10.2,2.037,1078,0.13,94,0.84
3/10/14,4:29,9.66,2.049,1084,1.9,94,1.24
3/10/14,4:31,10.35,2.054,1087,0.89,85,1.51
3/10/14,4:32,10.49,2.06,1090,1.67,82,0.5
3/10/14,4:34,10.3,2.062,1091,1.57,100,1.54
3/10/14,4:35,9.56,2.07,1095,1.84,75,1.22
3/10/14,4:37,10.25,2.075,1098,1.13,85,0.58
3/10/14,4:38,9.66,2.081,1101,0.82,96,0.57
3/10/14,4:39,9.86,2.085,1103,1.28,85,1.93
3/10/14,4:41,10.14,2.088,1105,0.84,93,1.48
3/10/14,4:42,10.37,2.091,1106,1.46,76,1.4
3/10/14,4:44,9.98,2.102,1112,0.75,90,1.46
3/10/14,4:45,10.08,2.113,1118,1.99,89,1.14
3/10/14,4:47,9.91,2.119,1122,0.37,77,0.96
3/10/14,4:48,10.19,2.125,1124,0.85,77,1.58
3/10/14,4:49,10.15,2.127,1126,1.71,76,1.64
3/10/14,4:51,9.78,2.129,1127,0.5,82,1.03
3/10/14,4:52,9.57,2.14,1132,1.4,88,0.83
3/10/14,4:54,10.06,2.144,1135,0.73,76,1.49
3/10/14,4:55,9.7,2.157,1141,0.66,86,1.08
3/10/14,4:57,10.15,2.163,1145,1.98,90,1.51
3/10/14,4:58,9.58,2.168,1147,1.81,79,1.03
3/10/14,5:00,9.62,2.17,1149,0.65,81,1.1
3/10/14,5:01,10.1,2.181,1154,0.13,92,0.9
3/10/14,5:02,9.83,2.185,1156,0.96,95,1.79
3/10/14,5:04,9.66,2.187,1157,1.5,79,1.32
3/10/14,5:05,9.96,2.192,1160,0.67,86,0.81
3/10/14,5:07,9.52,2.197,1162,0.07,97,1.71
3/10/14,5:08,9.55,2.202,1165,0.87,81,0.98
3/10/14,5:10,10.28,2.204,1166,0.87,90,0.67
3/10/14,5:11,10.32,2.218,1174,1.94,92,1.64
3/10/14,5:13,10.43,2.227,1178,0.94,81,0.68
3/10/14,5:14,9.75,2.231,1180,0.62,75,1.93
3/10/14,5:15,10.4,2.238,1184,0.65,97,1.81
3/10/14,5:17,10.45,2.24,1186,1.19,92,1.02
3/10/14,5:18,10.28,2.246,1189,1,94,1.97
3/10/14,5:20,10.08,2.25,1191,0.68,77,1.7
3/10/14,5:21,10.43,2.255,1193,1.45,87,1.4
3/10/14,5:23,10.12,2.258,1195,0.64,83,1.05
3/10/14,5:24,10.2,2.266,1199,0.33,91,1.35
3/10/14,5:25,9.69,2.268,1200,1.15,80,1.85
3/10/14,5:27,10.43,2.27,1201,0.58,75,1.66
3/10/14,5:28,9.91,2.273,1203,1.7,99,1.59
3/10/14,5:30,9.86,2.277,1205,0.93,90,1.21
3/10/14,5:31,10.02,2.281,1207,0.05,89,1
3/10/14,5:33,10.16,2.283,1208,1.67,93,0.69
3/10/14,5:34,10.04,2.287,1210,0.78,77,1.58
3/10/14,5:36,10.48,2.296,1215,0.08,77,1.04
3/10/14,5:37,10.33,2.297,1216,0.92,76,0.69
3/10/14,5:38,10.21,2.3,1217,0.76,76,1.11
3/10/14,5:40,10.3,2.304,1219,0.98,88,1.44
3/10/14,5:41,9.76,2.318,1227,0.4,84,0.84
3/10/14,5:43,9.93,2.324,1230,0.38,82,0.78
3/10/14,5:44,10.08,2.337,1237,1.44,76,1.82
3/10/14,5:46,9.6,2.343,1240,1.54,100,2
3/10/14,5:47,10.01,2.354,1246,1.94,90,1.78
3/10/14,5:49,10.45,2.365,1252,1.71,94,1.6
3/10/14,5:50,9.59,2.367,1253,1.28,90,0.6
3/10/14,5:51,9.51,2.372,1255,0.91,78,0.99
3/10/14,5:53,9.55,2.381,1260,1.38,80,1.6
3/10/14,5:54,9.54,2.385,1262,0.6,93,0.76
3/10/14,5:56,10.45,2.394,1267,1.57,90,1.72
3/10/14,5:57,9.93,2.406,1273,0.25,87,1.73
3/10/14,5:59,10.04,2.41,1275,0.45,76,0.9
3/10/14,6:00,10.33,2.417,1279,0.47,80,0.67
3/10/14,6:01,10.39,2.423,1282,0.78,92,0.55
3/10/14,6:03,10.14,2.435,1289,0.66,75,1.51
3/10/14,6:04,10.45,2.439,1291,0.16,78,1.07
3/10/14,6:06,10.45,2.446,1295,1.75,77,0.64
3/10/14,6:07,10.31,2.45,1296,1.6,83,1.89
3/10/14,6:09,10.41,2.453,1298,1.5,86,0.85
3/10/14,6:10,9.96,2.459,1301,1.8,95,0.65
3/10/14,6:12,10.17,2.462,1303,1.3,91,1.97
3/10/14,6:13,9.82,2.468,1306,0.69,98,1.89
3/10/14,6:14,10.01,2.472,1308,0.35,97,0.99
3/10/14,6:16,9.96,2.478,1311,1.12,94,1.6
3/10/14,6:17,9.94,2.481,1313,1.97,94,1.68
3/10/14,6:19,10.28,2.495,1320,1.49,79,1.62
3/10/14,6:20,10.49,2.497,1321,0.47,99,1.28
3/10/14,6:22,10.17,2.51,1328,1.24,89,0.65
3/10/14,6:23,9.73,2.52,1333,0.54,79,1.07
3/10/14,6:25,10.27,2.525,1336,1.99,96,0.74
3/10/14,6:26,10.16,2.537,1343,0.28,85,1.23
3/10/14,6:27,10.34,2.55,1349,1.46,98,0.73
