# source: http://www.bco-dmo.org/dataset-deployment/453044
#  version: 06April2010 
#  PI: Minnett 
#  Radiosonde profiles of atmospheric temperature, humidity, wind speed and direction
# 
Filename    date_UTC  time_UTC  lat     lon     Hmax   Pmin   N     Id         Time_Min  Time_Sec  Height  Pressure  Temperature  RH  Dewp  PotTem  VapP  MixR  Dir  Speed  
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         0         3       1007.4    10.0         92  8.8   282.6   11.3  7.1   28   10     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         2         9       1006.6    10.3         88  8.4   283.0   11.0  6.9   24   10     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         4         15      1005.8    10.4         84  7.8   283.1   10.6  6.6   23   10     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         6         25      1004.6    10.4         85  8.0   283.2   10.7  6.7   21   10     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         8         36      1003.4    10.3         86  8.1   283.2   10.8  6.7   20   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         10        44      1002.4    10.3         86  8.1   283.3   10.8  6.7   19   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         12        52      1001.4    10.3         86  8.1   283.4   10.8  6.8   18   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         14        56      1000.9    10.3         86  8.1   283.4   10.8  6.8   17   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         16        60      1000.4    10.3         87  8.2   283.5   10.9  6.8   15   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         18        64      1000.0    10.3         87  8.2   283.5   10.9  6.8   14   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         20        70      999.2     10.3         87  8.2   283.6   10.9  6.8   13   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         22        74      998.7     10.2         87  8.1   283.5   10.8  6.8   12   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         24        80      998.0     10.2         87  8.1   283.6   10.8  6.8   11   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         26        86      997.3     10.2         87  8.1   283.6   10.8  6.8   10   11     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         28        95      996.3     10.2         87  8.1   283.7   10.8  6.8   9    12     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         30        103     995.3     10.4         87  8.3   284.0   11.0  6.9   8    12     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         32        111     994.4     10.5         86  8.3   284.1   10.9  6.9   7    12     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         34        119     993.4     10.6         86  8.4   284.3   11.0  6.9   6    12     
040401a.rs  20040401  0611      -46.91  171.74  23.31  33.0   3596  12103809   0         36        129     992.2     10.7         85  8.3   284.5   11.0  6.9   6    12     
